,name,mean speed
0,01_tracks.csv,29.565844569482813
1,02_tracks.csv,30.434218128938742
2,03_tracks.csv,30.03786080609451
3,04_tracks.csv,30.337460466427935
4,05_tracks.csv,30.39482118087191
5,06_tracks.csv,33.19253642742005
6,07_tracks.csv,33.510946513574616
7,08_tracks.csv,32.56185987040956
8,09_tracks.csv,33.25936220168404
9,10_tracks.csv,27.128332649929188
10,11_tracks.csv,24.29542752080954
11,12_tracks.csv,28.563184672237018
12,13_tracks.csv,29.249190599843455
13,14_tracks.csv,29.697162901523864
14,15_tracks.csv,29.97419181787303
15,16_tracks.csv,30.345869497926685
16,17_tracks.csv,31.88990451165224
17,18_tracks.csv,30.932920091949825
18,19_tracks.csv,29.919919583856387
19,20_tracks.csv,30.77927493074868
20,21_tracks.csv,29.18638194206351
21,22_tracks.csv,28.386535059853255
22,23_tracks.csv,29.66770700028092
23,24_tracks.csv,13.899990458058221
24,25_tracks.csv,16.99420671703177
25,26_tracks.csv,27.596365886746522
26,27_tracks.csv,29.494996330360852
27,28_tracks.csv,28.93114933975378
28,29_tracks.csv,28.567144691933787
29,30_tracks.csv,28.44246336187715
30,31_tracks.csv,29.073502542715644
31,32_tracks.csv,28.471323991657655
32,33_tracks.csv,28.246503164955463
33,34_tracks.csv,29.251558563988535
34,35_tracks.csv,26.989684107191838
35,36_tracks.csv,28.92780747793384
36,37_tracks.csv,29.048746239487183
37,38_tracks.csv,30.365230571030356
38,39_tracks.csv,30.491310974411498
39,40_tracks.csv,30.710363228721132
40,41_tracks.csv,30.06437528945369
41,42_tracks.csv,30.574268034811503
42,43_tracks.csv,30.28962380586876
43,44_tracks.csv,30.388468607852577
44,45_tracks.csv,25.98629397062177
45,46_tracks.csv,29.14076983420706
46,47_tracks.csv,29.692361716335082
47,48_tracks.csv,29.992804299324973
48,49_tracks.csv,29.931410434229658
49,50_tracks.csv,30.088490009430984
50,51_tracks.csv,29.99198202076805
51,52_tracks.csv,29.659538170905204
52,53_tracks.csv,30.682178955818884
53,54_tracks.csv,30.157048696197638
54,55_tracks.csv,29.816635057403847
55,56_tracks.csv,30.41273818048061
56,57_tracks.csv,29.579798430973838
57,58_tracks.csv,30.490342358845407
58,59_tracks.csv,29.352863191379992
